Index,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
281,Portland, OR,#DisarmthePolice,Sat Jun 20 04:49:10 +0000 2020,45.5371,-122.65,#562c2c,1874.0,2052796.0,1
283,Richmond, VA,#DisarmthePolice,Sat Jun 20 02:19:58 +0000 2020,37.5295,-77.4756,#562c2c,1463.0,1059907.0,1
284,Virginia Beach, VA,#DisarmthePolice,Sat Jun 20 01:55:40 +0000 2020,36.7335,-76.0435,#562c2c,710.0,1480383.0,1
285,California, USA,#DisarmthePolice,Sat Jun 20 01:41:15 +0000 2020,36.924938936877076,-120.18747089700997,#562c2c,956.9958139534883,39607.22724252492,3
286,Los Angeles, CA,#DisarmthePolice,Sat Jun 20 01:15:10 +0000 2020,34.1139,-118.4068,#562c2c,3295.0,12815475.0,1
287,Houston, TX,#DisarmthePolice,Fri Jun 19 23:29:35 +0000 2020,29.7869,-95.3905,#562c2c,1401.0,5446468.0,1
290,Oregon, USA,#DisarmthePolice,Fri Jun 19 18:40:05 +0000 2020,44.56224297082228,-122.01842334217507,#562c2c,621.6392572944297,13825.602122015915,1
291,Austin, TX,#DisarmthePolice,Fri Jun 19 17:40:54 +0000 2020,30.3006,-97.7517,#562c2c,1144.0,1638716.0,1
292,Everett, Washington,#DisarmthePolice,Fri Jun 19 16:07:14 +0000 2020,47.9524,-122.167,#562c2c,1278.0,110079.0,1
293,Arkansas, USA,#DisarmthePolice,Fri Jun 19 14:15:26 +0000 2020,35.07553649906891,-92.35809255121043,#562c2c,199.72625698324023,4858.420856610801,1
296,Fort Collins, CO,#DisarmthePolice,Fri Jun 19 06:31:13 +0000 2020,40.5475,-105.0651,#562c2c,1124.0,303184.0,1
297,Des Moines, Iowa,#DisarmthePolice,Fri Jun 19 06:19:36 +0000 2020,41.5725,-93.6105,#562c2c,952.0,481222.0,1
298,Parkland, WA,#DisarmthePolice,Fri Jun 19 05:39:44 +0000 2020,47.1417,-122.4376,#562c2c,1653.0,37019.0,1
299,Belton, MO,#DisarmthePolice,Fri Jun 19 04:24:57 +0000 2020,38.8193,-94.5334,#562c2c,641.0,23480.0,1
300,Massachusetts, USA,#DisarmthePolice,Fri Jun 19 02:51:08 +0000 2020,42.08924751773049,-71.18091205673758,#562c2c,1008.886524822695,63636.99290780142,1
301,New York, USA,BlackLivesMatter,Sat Jun 20 15:40:21 +0000 2020,42.11192215013902,-75.02628554216868,#f2542d,970.2613531047266,35076.80815569972,3
302,Midland, TX,BlackLivesMatter,Sun Jun 21 12:13:55 +0000 2020,32.0249,-102.1137,#f2542d,706.0,144247.0,1
307,New York, NY,BlackLivesMatter,Sun Jun 21 12:13:47 +0000 2020,40.6943,-73.9249,#f2542d,11083.0,19354922.0,3
308,Virginia, USA,BlackLivesMatter,Sun Jun 21 12:13:45 +0000 2020,37.7647656996587,-78.37606126279863,#f2542d,544.5238907849829,13988.131399317406,1
312,Texas, USA,BlackLivesMatter,Sun Jun 21 12:13:42 +0000 2020,30.65436949941793,-97.80444208381839,#f2542d,467.07974388824215,19220.278230500582,2
313,Rochester,NY,BlackLivesMatter,Sun Jun 21 12:13:40 +0000 2020,43.168,-77.6162,#f2542d,2245.0,711998.0,1
316,Denver, CO,BlackLivesMatter,Sun Jun 21 12:13:39 +0000 2020,39.7621,-104.8759,#f2542d,1774.0,2787266.0,1
320,Texas, USA,BlackLivesMatter,Sun Jun 21 12:13:33 +0000 2020,30.65436949941793,-97.80444208381839,#f2542d,467.07974388824215,19220.278230500582,2
321,Mount Pleasant, MI,BlackLivesMatter,Sun Jun 21 12:13:32 +0000 2020,43.5966,-84.7759,#f2542d,1292.0,37206.0,1
323,Florida, USA,BlackLivesMatter,Sun Jun 21 12:13:28 +0000 2020,28.1400878021978,-82.12263065934067,#f2542d,927.0826373626373,33241.92747252747,1
324,Georgia, USA,BlackLivesMatter,Sun Jun 21 12:13:28 +0000 2020,32.96564403225806,-83.57147564516129,#f2542d,315.7548387096774,17340.274193548386,1
325,Ohio, USA,BlackLivesMatter,Sun Jun 21 12:13:28 +0000 2020,40.35181636212625,-82.80448712624585,#f2542d,549.1569767441861,11432.45265780731,1
328,New York, NY,BlackLivesMatter,Sun Jun 21 12:13:26 +0000 2020,40.6943,-73.9249,#f2542d,11083.0,19354922.0,3
329,South Dakota, USA,#WhiteLivesMatter,Sun Jun 21 12:12:30 +0000 2020,44.280620408163266,-98.94644770408163,#e6194B,235.93112244897958,1732.0229591836735,1
334,Athens, GA,#WhiteLivesMatter,Sun Jun 21 12:10:35 +0000 2020,33.9508,-83.3689,#e6194B,417.0,140169.0,1
338,Bluffton, IN,#WhiteLivesMatter,Sun Jun 21 12:09:47 +0000 2020,40.7426,-85.173,#e6194B,470.0,10085.0,1
350,Illinois, USA,#WhiteLivesMatter,Sun Jun 21 11:58:16 +0000 2020,40.335685557184746,-89.03020461876832,#e6194B,554.2741935483871,13391.538856304986,1
